diam	pitch	short_name	stats_detail_file	full_name	side_pic	front_pic
2.5	0.8	gwsdd	gwsdd_2.5x0.8_static_0500rd.txt	gwsdd_2.5x0.8	gwsdd_2.5x0.8-side.png	gwsdd_2.5x0.8-front.png
2.5	1.0	gwsdd	gwsdd_2.5x1_static_0456rd.txt	gwsdd_2.5x1	gwsdd_2.5x1-side.png	gwsdd_2.5x1-front.png
3.0	2.0	gwsdd	gwsdd_3x2_static_0392rd.txt	gwsdd_3x2	gwsdd_3x2-side.png	gwsdd_3x2-front.png
3.0	3.0	gwsdd	gwsdd_3x3_static_0401rd.txt	gwsdd_3x3	gwsdd_3x3-side.png	gwsdd_3x3-front.png
4.5	3.0	gwsdd	gwsdd_4.5x3_static_0341rd.txt	gwsdd_4.5x3	gwsdd_4.5x3-side.png	gwsdd_4.5x3-front.png
4.5	4.0	gwsdd	gwsdd_4.5x4_static_0332rd.txt	gwsdd_4.5x4	gwsdd_4.5x4-side.png	gwsdd_4.5x4-front.png
4.0	2.5	gwsdd	gwsdd_4x2.5_static_0374rd.txt	gwsdd_4x2.5	gwsdd_4x2.5-side.png	gwsdd_4x2.5-front.png
4.0	4.0	gwsdd	gwsdd_4x4_static_0437rd.txt	gwsdd_4x4	gwsdd_4x4-side.png	gwsdd_4x4-front.png
5.0	3.0	gwsdd	gwsdd_5x3_static_0323rd.txt	gwsdd_5x3	gwsdd_5x3-side.png	gwsdd_5x3-front.png
5.0	4.3	gwsdd	gwsdd_5x4.3_static_0428rd.txt	gwsdd_5x4.3	gwsdd_5x4.3-side.png	gwsdd_5x4.3-front.png
5.0	4.3	gwsdd	gwsdd_5x4.3_static_0493rd.txt	gwsdd_5x4.3	gwsdd_5x4.3-side.png	gwsdd_5x4.3-front.png
9.0	5.0	gwsdd	gwsdd_9x5_static_0797rd.txt	gwsdd_9x5	gwsdd_9x5-side.png	gwsdd_9x5-front.png
9.0	5.0	gwsdd	gwsdd_9x5_static_jb1002.txt	gwsdd_9x5	gwsdd_9x5-side.png	gwsdd_9x5-front.png
10.0	4.7	gwssf	gwssf_10x4.7_static_jb0875.txt	gwssf_10x4.7	gwssf_10x4.7-side.png	gwssf_10x4.7-front.png
10.0	8.0	gwssf	gwssf_10x8_static_jb0880.txt	gwssf_10x8	gwssf_10x8-side.png	gwssf_10x8-front.png
11.0	4.7	gwssf	gwssf_11x4.7_static_jb0563.txt	gwssf_11x4.7	gwssf_11x4.7-side.png	gwssf_11x4.7-front.png
11.0	8.0	gwssf	gwssf_11x8_static_kt0649.txt	gwssf_11x8	gwssf_11x8-side.png	gwssf_11x8-front.png
8.0	4.3	gwssf	gwssf_8x4.3_static_2869rd.txt	gwssf_8x4.3		
8.0	6.0	gwssf	gwssf_8x6_static_2862rd.txt	gwssf_8x6		
9.0	4.7	gwssf	gwssf_9x4.7_static_kt0965.txt	gwssf_9x4.7	gwssf_9x4.7-side.png	gwssf_9x4.7-front.png
9.0	7.0	gwssf	gwssf_9x7_static_kt0972.txt	gwssf_9x7	gwssf_9x7-side.png	gwssf_9x7-front.png
11.0	6.0	kavfk	kavfk_11x6_static_2972rd.txt	kavfk_11x6		
11.0	7.75	kavfk	kavfk_11x7.75_static_2979os.txt	kavfk_11x7.75		
9.0	4.0	kavfk	kavfk_9x4_static_2591rd.txt	kavfk_9x4		
9.0	6.0	kavfk	kavfk_9x6_static_2592rd.txt	kavfk_9x6		
10.0	6.0	kyosho	kyosho_10x6_static_jb0762.txt	kyosho_10x6	kyosho_10x6-side.png	kyosho_10x6-front.png
10.0	7.0	kyosho	kyosho_10x7_static_rd0770.txt	kyosho_10x7	kyosho_10x7-side.png	kyosho_10x7-front.png
11.0	7.0	kyosho	kyosho_11x7_static_kt0704.txt	kyosho_11x7	kyosho_11x7-side.png	kyosho_11x7-front.png
11.0	9.0	kyosho	kyosho_11x9_static_rd0606.txt	kyosho_11x9	kyosho_11x9-side.png	kyosho_11x9-front.png
9.0	6.0	kyosho	kyosho_9x6_static_jb1039.txt	kyosho_9x6	kyosho_9x6-side.png	kyosho_9x6-front.png
10.0	7.0	mae	mae_10x7_static_jb0754.txt	mae_10x7	mae_10x7-side.png	mae_10x7-front.png
